,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Doug Russell 37 yard pass from Pat Coffee (Conway Baker kick),0,7
1,1.0,Cardinals,Pete Tyler 4 yard pass from Pat Coffee (Conway Baker kick),0,14
2,2.0,Bears,Les McDonald 14 yard pass from Ray Buivid (Jack Manders kick),7,14
3,2.0,Bears,Les McDonald 42 yard pass from Ray Buivid,13,14
4,3.0,Bears,Les McDonald 8 yard pass from Ray Buivid (Dick Plasman kick),20,14
5,3.0,Bears,Pug Rentner 15 yard pass from Ray Buivid (Dick Plasman kick),27,14
6,3.0,Bears,Gene Ronzani 21 yard pass from Ray Buivid,33,14
7,3.0,Bears,Ray Buivid 8 yard pass from Sam Francis (Sam Francis kick),40,14
8,4.0,Cardinals,Hal Pangle unknown yard rush (Conway Baker kick),40,21
9,4.0,Bears,"Safety, center snap went out of end zone",42,21
10,4.0,Cardinals,Gaynell Tinsley 97 yard pass from Pat Coffee,42,28
