,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Joe Womack 7 yard rush (Lou Michaels kick),0,7
1,1.0,Giants,Don Chandler 23 yard field goal,3,7
2,1.0,Steelers,Red Mack 28 yard pass from Bobby Layne (Lou Michaels kick),3,14
3,2.0,Giants,Paul Dudley 11 yard pass from Y.A. Tittle (Don Chandler kick),10,14
4,2.0,Steelers,Lou Michaels 41 yard field goal,10,17
5,2.0,Giants,Alex Webster 58 yard pass from Y.A. Tittle (Don Chandler kick),17,17
6,3.0,Steelers,Lou Michaels 33 yard field goal,17,20
7,3.0,Giants,Frank Gifford 27 yard pass from Y.A. Tittle (Don Chandler kick),24,20
8,4.0,Giants,Del Shofner 16 yard pass from Y.A. Tittle (Don Chandler kick),31,20
9,4.0,Steelers,John Henry Johnson 1 yard rush (Lou Michaels kick),31,27
