,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Jim Gibbons 64 yard pass from Milt Plum (Wayne Walker kick),0,7
1,2.0,Lions,Wayne Walker 27 yard field goal,0,10
2,2.0,Lions,Tom Watkins 68 yard punt return (Wayne Walker kick),0,17
3,3.0,49ers,Dave Parks 13 yard pass from John Brodie (Tommy Davis kick),7,17
4,4.0,Lions,Jim Gibbons 82 yard pass from Milt Plum (Wayne Walker kick),7,24
