,Quarter,Tm,Detail,CLE,KAN
0,2.0,Chiefs,Nick Lowery 33 yard field goal,0,3
1,2.0,Browns,Matt Bahr 19 yard field goal,3,3
2,4.0,Browns,Matt Bahr 38 yard field goal,6,3
