,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,8:05,Lions,Shawn Bryson 6 yard rush (Jason Hanson kick),0,7
1,1.0,0:33,Lions,Jason Hanson 42 yard field goal,0,10
2,2.0,10:27,Packers,Bubba Franks 5 yard pass from Brett Favre (Ryan Longwell kick),7,10
3,2.0,2:37,Lions,Jason Hanson 28 yard field goal,7,13
4,3.0,3:48,Packers,Javon Walker 45 yard pass from Brett Favre (Ryan Longwell kick),14,13
5,4.0,13:09,Lions,Jason Hanson 49 yard field goal,14,16
6,4.0,9:17,Lions,Jason Hanson 46 yard field goal,14,19
7,4.0,3:34,Lions,Jason Hanson 32 yard field goal,14,22
