,Quarter,Tm,Detail,CLE,CHI
0,1.0,Bears,Bob Wallace 21 yard pass from Bobby Douglass (Mac Percival kick),0,7
1,2.0,Bears,Gale Sayers 1 yard rush (Mac Percival kick),0,14
2,2.0,Browns,Paul Warfield 10 yard pass from Bill Nelsen (Don Cockroft kick),7,14
3,2.0,Bears,Mike Hull 4 yard rush (Mac Percival kick),7,21
4,2.0,Browns,Ron Johnson 1 yard rush (Don Cockroft kick),14,21
5,3.0,Browns,Chip Glass 24 yard pass from Bill Nelsen (Don Cockroft kick),21,21
6,4.0,Bears,Mac Percival 10 yard field goal,21,24
7,4.0,Browns,Ron Johnson 7 yard rush (Don Cockroft kick),28,24
