,Quarter,Tm,Detail,SDG,TAM
0,1.0,Chargers,Eric Sievers 27 yard pass from Dan Fouts (Rolf Benirschke kick),7,0
1,1.0,Buccaneers,Theo Bell 58 yard pass from Doug Williams (Bill Capece kick),7,7
2,2.0,Chargers,John Cappelletti 8 yard rush (Rolf Benirschke kick),14,7
3,3.0,Buccaneers,Bill Capece 49 yard field goal,14,10
4,4.0,Chargers,James Brooks 1 yard rush (Rolf Benirschke kick),21,10
5,4.0,Buccaneers,James Wilder 8 yard rush,21,16
6,4.0,Buccaneers,James Wilder 23 yard rush (Bill Capece kick),21,23
7,4.0,Chargers,Rolf Benirschke 29 yard field goal,24,23
