,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Elbie Nickel 16 yard pass from Jim Finks (Tad Weed kick),7,0
1,1.0,Browns,Ken Konz 15 yard interception return (Lou Groza kick),7,7
2,2.0,Browns,Dante Lavelli 6 yard pass from Otto Graham (Lou Groza kick),7,14
3,2.0,Steelers,Elbie Nickel 30 yard pass from Ted Marchibroda (Tad Weed kick),14,14
4,2.0,Browns,Dante Lavelli 42 yard pass from Otto Graham (Lou Groza kick),14,21
5,3.0,Browns,Ed Modzelewski 3 yard rush,14,27
6,3.0,Browns,Otto Graham 4 yard rush (Lou Groza kick),14,34
7,4.0,Browns,Maurice Bassett 5 yard rush (Lou Groza kick),14,41
