,Quarter,Time,Tm,Detail,WAS,ARI
0,2.0,14:50,Redskins,John Hall 41 yard field goal,3,0
1,2.0,8:27,Cardinals,LeRon McCoy 2 yard pass from Kurt Warner (Neil Rackers kick),3,7
2,2.0,1:06,Cardinals,Neil Rackers 44 yard field goal,3,10
3,3.0,7:20,Redskins,Clinton Portis 15 yard rush (John Hall kick),10,10
4,3.0,3:40,Cardinals,Neil Rackers 20 yard field goal,10,13
5,3.0,3:29,Redskins,Antonio Brown 91 yard kickoff return (John Hall kick),17,13
