,Quarter,Tm,Detail,MIA,TAM
0,3.0,Dolphins,Mark Clayton 5 yard pass from Dan Marino (Tony Franklin kick),7,0
1,3.0,Dolphins,Mark Clayton 8 yard pass from Dan Marino (Tony Franklin kick),14,0
2,3.0,Dolphins,Tony Franklin 31 yard field goal,17,0
3,4.0,Buccaneers,Lars Tate 5 yard pass from Joe Ferguson (Donald Igwebuike kick),17,7
4,4.0,Buccaneers,Bruce Hill 27 yard pass from Joe Ferguson (Donald Igwebuike kick),17,14
