,Quarter,Tm,Detail,WAS,DAL
0,2.0,Cowboys,Don Perkins 20 yard rush (Danny Villanueva kick),0,7
1,2.0,Redskins,Charlie Gogolak 42 yard field goal,3,7
2,2.0,Redskins,John Reger special teams fumble recovery in end zone (Charlie Gogolak kick),10,7
3,3.0,Cowboys,Danny Villanueva 26 yard field goal,10,10
4,3.0,Cowboys,Bob Hayes 23 yard pass from Craig Morton (Danny Villanueva kick),10,17
5,3.0,Redskins,Bobby Mitchell 11 yard pass from Sonny Jurgensen (Charlie Gogolak kick),17,17
6,4.0,Cowboys,Dan Reeves 67 yard rush (Danny Villanueva kick),17,24
7,4.0,Redskins,Jerry Smith 11 yard pass from Sonny Jurgensen (Charlie Gogolak kick),24,24
8,4.0,Cowboys,Don Perkins 6 yard rush (Danny Villanueva kick),24,31
9,4.0,Redskins,Charley Taylor 65 yard pass from Sonny Jurgensen (Charlie Gogolak kick),31,31
10,4.0,Redskins,Charlie Gogolak 29 yard field goal,34,31
