,Quarter,Time,Tm,Detail,DET,ARI
0,2,14:12,Lions,Matt Prater 55 yard field goal,3,0
1,2,12:34,Lions,Danny Amendola 47 yard pass from Matthew Stafford (Matt Prater kick),10,0
2,2,3:45,Lions,Kenny Golladay 9 yard pass from Matthew Stafford (Matt Prater kick),17,0
3,2,1:22,Cardinals,Zane Gonzalez 20 yard field goal,17,3
4,3,4:43,Cardinals,Zane Gonzalez 42 yard field goal,17,6
5,4,14:56,Lions,T.J. Hockenson 23 yard pass from Matthew Stafford (Matt Prater kick),24,6
6,4,11:13,Cardinals,Zane Gonzalez 34 yard field goal,24,9
7,4,6:04,Cardinals,David Johnson 27 yard pass from Kyler Murray (Zane Gonzalez kick),24,16
8,4,0:47,Cardinals,Larry Fitzgerald 4 yard pass from Kyler Murray (Christian Kirk pass from Kyler Murray ),24,24
9,OT,7:21,Cardinals,Zane Gonzalez 28 yard field goal,24,27
10,OT,3:52,Lions,Matt Prater 33 yard field goal,27,27
