,Quarter,Tm,Detail,PIT,CRD
0,1.0,Steelers,Joe Geri 5 yard rush (Joe Geri kick),7,0
1,1.0,Cardinals,Pat Harder 18 yard field goal,7,3
2,2.0,Steelers,Joe Geri 4 yard rush (Joe Geri kick),14,3
3,3.0,Steelers,Jerry Nuzum 1 yard rush (Joe Geri kick),21,3
4,4.0,Steelers,Bob Gage 13 yard rush (Joe Geri kick),28,3
5,4.0,Cardinals,Bob Shaw 45 yard pass from Jim Hardy (Pat Harder kick),28,10
6,4.0,Cardinals,Fran Polsfoot 22 yard pass from Jim Hardy (Pat Harder kick),28,17
