,Quarter,Time,Tm,Detail,PHI,NYG
0,1,12:36,Eagles,James Thrash 20 yard rush (David Akers kick),7,0
1,4,8:08,Giants,Jeremy Shockey 7 yard pass from Kerry Collins (Matt Bryant kick),7,7
2,OT,9:50,Giants,Matt Bryant 39 yard field goal,7,10
