,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,5:21,Titans,Joe Nedney 22 yard field goal,3,0
1,1.0,0:01,Jaguars,Mike Hollis 35 yard field goal,3,3
2,2.0,8:33,Titans,Joe Nedney 43 yard field goal,6,3
3,2.0,4:56,Jaguars,Stacey Mack 22 yard rush (Mike Hollis kick),6,10
4,3.0,2:06,Jaguars,Mike Hollis 39 yard field goal,6,13
