,Quarter,Time,Tm,Detail,NYG,ARI
0,1,5:29,Cardinals,Phil Dawson 21 yard field goal,0,3
1,2,1:01,Cardinals,Larry Fitzgerald 13 yard pass from Drew Stanton (Phil Dawson kick),0,10
2,3,9:25,Cardinals,John Brown 15 yard pass from Drew Stanton (Phil Dawson kick failed),0,16
3,4,14:50,Cardinals,Robert Nkemdiche 21 yard fumble return (Phil Dawson kick),0,23
