,Quarter,Tm,Detail,GNB,PHO
0,1.0,Packers,Ron Pitts 63 yard punt return,6,0
1,1.0,Packers,Keith Woodside 3 yard rush (Curtis Burrow kick),13,0
2,1.0,Cardinals,Stump Mitchell 4 yard rush (Al Del Greco kick),13,7
3,2.0,Cardinals,Al Del Greco 20 yard field goal,13,10
4,2.0,Cardinals,Stump Mitchell 12 yard rush (Al Del Greco kick),13,17
5,2.0,Packers,Larry Mason 10 yard pass from Don Majkowski (Curtis Burrow kick),20,17
6,3.0,Packers,Clint Didier 2 yard pass from Don Majkowski,26,17
