,Quarter,Tm,Detail,HAM,CHI
0,2.0,Bears,Gus Fetz 3 yard rush (Ralph Scott kick),0,7
1,4.0,Pros,Ed Robinson 65 yard punt return (Ed Robinson kick),7,7
2,4.0,Bears,Johnny Bryan 1 yard rush (Dutch Sternaman kick),7,14
