,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,Dick Hoak 6 yard rush,0,6
1,1.0,Giants,Joe Morrison 10 yard pass from Fran Tarkenton (Pete Gogolak kick),7,6
2,1.0,Steelers,Earl Gros 5 yard pass from Kent Nix (Bill Shockley kick),7,13
3,2.0,Giants,Joe Morrison 13 yard pass from Fran Tarkenton (Pete Gogolak kick),14,13
4,2.0,Giants,Randy Minniear 1 yard rush (Pete Gogolak kick),21,13
5,2.0,Giants,Fran Tarkenton 4 yard rush (Pete Gogolak kick),28,13
6,2.0,Steelers,Dick Compton 9 yard pass from Kent Nix (Bill Shockley kick),28,20
7,4.0,Giants,Pete Gogolak 23 yard field goal,31,20
8,4.0,Giants,Pete Gogolak 17 yard field goal,34,20
