,Quarter,Time,Tm,Detail,KAN,DEN
0,1,0:11,Chiefs,Dexter McCluster 21 yard rush (Ryan Succop kick),7,0
1,3,8:11,Broncos,Matt Prater 38 yard field goal,7,3
