,Quarter,Time,Tm,Detail,JAX,KAN
0,1.0,2:49,Chiefs,Morten Andersen 25 yard field goal,0,3
1,2.0,11:28,Chiefs,Morten Andersen 38 yard field goal,0,6
2,2.0,2:42,Jaguars,Jimmy Smith 37 yard pass from Mark Brunell (Hayden Epstein kick failed),6,6
3,2.0,0:00,Jaguars,Hayden Epstein 26 yard field goal,9,6
4,4.0,6:57,Chiefs,Morten Andersen 39 yard field goal,9,9
5,4.0,5:59,Jaguars,Patrick Johnson 79 yard pass from Mark Brunell (Hayden Epstein kick),16,9
6,4.0,3:09,Jaguars,Fred Taylor 63 yard rush (Hayden Epstein kick),23,9
7,4.0,2:35,Chiefs,Tony Gonzalez 12 yard pass from Trent Green (Morten Andersen kick),23,16
