,Quarter,Time,Tm,Detail,LAC,DEN
0,1.0,4:50,Broncos,Bennie Fowler 5 yard pass from Trevor Siemian (Brandon McManus kick),0,7
1,2.0,14:55,Chargers,Melvin Gordon 11 yard pass from Philip Rivers (Younghoe Koo kick),7,7
2,2.0,5:27,Broncos,Trevor Siemian 1 yard rush (Brandon McManus kick),7,14
3,3.0,10:27,Broncos,Bennie Fowler 6 yard pass from Trevor Siemian (Brandon McManus kick),7,21
4,3.0,0:00,Broncos,Brandon McManus 20 yard field goal,7,24
5,4.0,8:10,Chargers,Keenan Allen 5 yard pass from Philip Rivers (Younghoe Koo kick),14,24
6,4.0,7:00,Chargers,Travis Benjamin 38 yard pass from Philip Rivers (Younghoe Koo kick),21,24
