,Quarter,Tm,Detail,PIT,NOR
0,1.0,Steelers,Frank Lewis 31 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,2.0,Steelers,Terry Bradshaw 18 yard rush (Roy Gerela kick),14,0
2,3.0,Steelers,Lynn Swann 64 yard punt return (Roy Gerela kick),21,0
3,3.0,Saints,Paul Seal 10 yard pass from Bobby Scott (Bill McClard kick),21,7
4,3.0,Steelers,Larry Brown 1 yard pass from Terry Bradshaw (Roy Gerela kick),28,7
