,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Leroy Kelly 8 yard rush (Don Cockroft kick),0,7
1,1.0,Browns,Mike Phipps 1 yard rush (Don Cockroft kick),0,14
2,2.0,Browns,Fair Hooker 21 yard pass from Mike Phipps (Don Cockroft kick),0,21
3,2.0,Browns,Frank Pitts 3 yard pass from Mike Phipps (Don Cockroft kick),0,28
4,3.0,Oilers,Eddie Hinton 34 yard pass from Dan Pastorini (Skip Butler kick),7,28
5,3.0,Oilers,Skip Butler 9 yard field goal,10,28
6,3.0,Oilers,Skip Butler 31 yard field goal,13,28
7,4.0,Browns,Mike Phipps 13 yard rush (Don Cockroft kick),13,35
8,4.0,Browns,Bo Scott 2 yard pass from Don Horn (Don Cockroft kick),13,42
