,Quarter,Time,Tm,Detail,SDG,NYJ
0,1.0,13:01,Chargers,Micheal Spurlock 63 yard punt return (Nick Novak kick),7,0
1,1.0,9:20,Jets,Shonn Greene 1 yard rush (Nick Folk kick),7,7
2,1.0,4:13,Jets,Shonn Greene 1 yard rush (Nick Folk kick),7,14
3,2.0,8:32,Chargers,Nick Novak 51 yard field goal,10,14
4,3.0,11:11,Chargers,Danario Alexander 37 yard pass from Philip Rivers (Nick Novak kick),17,14
5,3.0,1:34,Chargers,Antonio Gates 34 yard pass from Philip Rivers (Nick Novak kick),24,14
6,4.0,14:07,Chargers,Nick Novak 27 yard field goal,27,14
7,4.0,11:08,Jets,Nick Folk 40 yard field goal,27,17
