,Quarter,Tm,Detail,MIN,DET
0,1.0,Lions,David Hill 3 yard pass from Gary Danielson (Eddie Murray kick),0,7
1,2.0,Vikings,Ahmad Rashad 40 yard pass from Tommy Kramer (Rick Danmeier kick),7,7
2,3.0,Lions,Eddie Murray 36 yard field goal,7,10
3,4.0,Lions,Freddie Scott 5 yard pass from Gary Danielson (Eddie Murray kick),7,17
4,4.0,Lions,Ray Oldham 29 yard interception return (Eddie Murray kick),7,24
5,4.0,Lions,Eddie Murray 24 yard field goal,7,27
