,Quarter,Tm,Detail,NYG,GNB
0,1.0,Packers,Paul Hornung 23 yard field goal,0,3
1,1.0,Giants,Y.A. Tittle 1 yard rush (Pat Summerall kick),7,3
2,1.0,Packers,Paul Hornung 25 yard field goal,7,6
3,1.0,Packers,Jim Taylor 14 yard rush (Paul Hornung kick),7,13
4,2.0,Giants,Bob Gaiters 2 yard rush (Pat Summerall kick),14,13
5,2.0,Giants,Pat Summerall 41 yard field goal,17,13
6,4.0,Packers,Jim Taylor 3 yard rush (Paul Hornung kick),17,20
