,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,,Eagles,Ricky Watters 1 yard rush (Gary Anderson kick),7,0
1,1.0,,Cardinals,Kevin Butler 21 yard field goal,7,3
2,2.0,,Eagles,Gary Anderson 44 yard field goal,10,3
3,2.0,,Cardinals,Leeland McElroy 4 yard rush (Kevin Butler kick),10,10
4,2.0,,Cardinals,Kevin Butler 36 yard field goal,10,13
5,3.0,,Eagles,Gary Anderson 25 yard field goal,13,13
6,3.0,,Cardinals,Kevin Butler 27 yard field goal,13,16
7,4.0,,Cardinals,Pat Carter 6 yard pass from Boomer Esiason (pass failed),13,22
8,4.0,,Eagles,Ricky Watters 4 yard rush (Gary Anderson kick),20,22
9,4.0,,Cardinals,Larry Centers 2 yard pass from Boomer Esiason (Kevin Butler kick),20,29
10,4.0,8:23,Eagles,Derrick Witherspoon 95 yard kickoff return (Gary Anderson kick),27,29
11,4.0,8:23,Eagles,Gary Anderson 32 yard field goal,30,29
12,4.0,8:23,Cardinals,Marcus Dowdell 24 yard pass from Boomer Esiason (Kevin Butler kick),30,36
