,Quarter,Tm,Detail,AKR,DUL
0,2,Kelleys,Joe Rooney 15 yard pass from Ken Harris (Joey Sternaman kick),0,7
1,3,Kelleys,Joey Sternaman 40 yard field goal,0,10
2,4,Pros,Wayne Brenkert 8 yard rush (Dutch Hendrian kick),7,10
