,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Neil O'Donoghue 34 yard field goal,0,3
1,1.0,Giants,Bill Currier 30 yard interception return (Ali Haji-Sheikh kick),7,3
2,2.0,Cardinals,Stump Mitchell 7 yard rush (Neil O'Donoghue kick),7,10
3,2.0,Giants,Rob Carpenter 1 yard rush (Ali Haji-Sheikh kick),14,10
4,3.0,Giants,Ali Haji-Sheikh 40 yard field goal,17,10
5,3.0,Cardinals,Benny Perrin 32 yard offensive fumble return (Neil O'Donoghue kick),17,17
6,4.0,Giants,Ali Haji-Sheikh 28 yard field goal,20,17
7,4.0,Cardinals,Neil O'Donoghue 22 yard field goal,20,20
