,Quarter,Tm,Detail,CRD,PHI
0,2.0,Eagles,Pete Pihos 12 yard fumble return (Bobby Walston kick),0,7
1,2.0,Cardinals,Cliff Anderson 14 yard pass from Charley Trippi (Joe Geri kick),7,7
2,2.0,Eagles,Bobby Walston 20 yard field goal,7,10
