,Quarter,Tm,Detail,SDG,RAM
0,1.0,Chargers,Quinn Early 4 yard pass from Mark Vlasic (Steve DeLine kick),7,0
1,1.0,Rams,Pete Holohan 4 yard pass from Jim Everett (Mike Lansford kick),7,7
2,1.0,Chargers,Anthony Miller 93 yard kickoff return (Steve DeLine kick),14,7
3,2.0,Chargers,Steve DeLine 38 yard field goal,17,7
4,2.0,Rams,Greg Bell 12 yard rush (Mike Lansford kick),17,14
5,3.0,Chargers,Sam Seale 50 yard touchdown on a lateral (Steve DeLine kick),24,14
6,4.0,Rams,Mike Lansford 20 yard field goal,24,17
7,4.0,Chargers,Barry Redden 1 yard rush (Steve DeLine kick),31,17
8,4.0,Rams,Aaron Cox 20 yard pass from Jim Everett (Mike Lansford kick),31,24
9,4.0,Chargers,Barry Redden 1 yard rush (Steve DeLine kick),38,24
