,Quarter,Time,Tm,Detail,JAX,HOU
0,1.0,11:55,Texans,Andre Johnson 31 yard pass from Sage Rosenfels (Kris Brown kick),0,7
1,1.0,6:29,Texans,Kris Brown 38 yard field goal,0,10
2,3.0,10:12,Texans,Kris Brown 50 yard field goal,0,13
3,3.0,3:29,Jaguars,Josh Scobee 29 yard field goal,3,13
4,3.0,0:46,Texans,Kris Brown 20 yard field goal,3,16
5,4.0,4:35,Texans,Steve Slaton 7 yard rush (Kris Brown kick),3,23
6,4.0,2:11,Jaguars,Fred Taylor 4 yard rush (Josh Scobee kick),10,23
7,4.0,2:04,Texans,Steve Slaton 40 yard rush (Kris Brown kick),10,30
8,4.0,0:39,Jaguars,Reggie Williams 18 yard pass from David Garrard (Josh Scobee kick),17,30
