,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,Rolf Benirschke 51 yard field goal,3,0
1,2.0,Chiefs,Anthony Hancock 45 yard pass from Bill Kenney (Nick Lowery kick),3,7
2,3.0,Chargers,Chuck Muncie 10 yard rush (Rolf Benirschke kick),10,7
3,4.0,Chiefs,Henry Marshall 48 yard pass from Carlos Carson (Nick Lowery kick),10,14
4,4.0,Chargers,Wes Chandler 12 yard pass from Dan Fouts (Rolf Benirschke kick),17,14
