,Quarter,Time,Tm,Detail,GNB,NYG
0,1.0,,Packers,Tyrone Davis 2 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,2.0,,Packers,Ryan Longwell 39 yard field goal,10,0
2,2.0,,Giants,Brad Daluiso 24 yard field goal,10,3
3,2.0,,Packers,Tyrone Davis 60 yard pass from Brett Favre (Ryan Longwell kick),17,3
4,2.0,0:03,Packers,Ryan Longwell 24 yard field goal,20,3
5,3.0,0:03,Packers,Ryan Longwell 31 yard field goal,23,3
6,3.0,0:03,Packers,William Henderson 7 yard rush (Ryan Longwell kick),30,3
7,4.0,0:03,Packers,Darick Holmes 2 yard rush (Ryan Longwell kick),37,3
