,Quarter,Tm,Detail,KAN,DEN
0,2.0,Broncos,Sammy Winder 6 yard rush (Rich Karlis kick),0,7
1,2.0,Broncos,Rick Parros 3 yard rush (Rich Karlis kick),0,14
2,3.0,Broncos,Mike Harden 45 yard interception return (Rich Karlis kick),0,21
