,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,Gary Anderson 52 yard field goal,3,0
1,2.0,Steelers,Frank Pollard 2 yard rush (Gary Anderson kick),10,0
2,3.0,Oilers,Mike Rozier 15 yard rush (Tony Zendejas kick),10,7
3,3.0,Steelers,Gary Anderson 31 yard field goal,13,7
4,3.0,Steelers,David Woodley 1 yard rush (Gary Anderson kick),20,7
5,3.0,Steelers,Gary Anderson 34 yard field goal,23,7
6,4.0,Steelers,Walter Abercrombie 5 yard rush (Gary Anderson kick),30,7
