,Quarter,Time,Tm,Detail,GNB,CLE
0,1.0,,Browns,Matt Stover 46 yard field goal,0,3
1,1.0,,Packers,Dorsey Levens 6 yard pass from Brett Favre (Chris Jacke kick),7,3
2,2.0,,Packers,Mark Chmura 3 yard pass from Brett Favre (Chris Jacke kick),14,3
3,2.0,,Packers,Anthony Morgan 13 yard pass from Brett Favre (Chris Jacke kick),21,3
4,3.0,,Browns,Matt Stover 38 yard field goal,21,6
5,3.0,,Packers,Chris Jacke 28 yard field goal,24,6
6,4.0,,Browns,Michael Jackson 8 yard pass from Vinny Testaverde (Matt Stover kick),24,13
7,4.0,,Packers,Brett Favre 4 yard rush (Chris Jacke kick),31,13
8,4.0,,Browns,Michael Jackson 37 yard pass from Vinny Testaverde (Matt Stover kick),31,20
