,Quarter,Time,Tm,Detail,SDG,DAL
0,1.0,10:23,Chargers,Freddie Jones 11 yard pass from Doug Flutie (Wade Richey kick),7,0
1,1.0,3:43,Chargers,Curtis Conway 7 yard pass from Doug Flutie (Wade Richey kick),14,0
2,2.0,13:30,Chargers,Wade Richey 22 yard field goal,17,0
3,2.0,13:12,Cowboys,Rocket Ismail 80 yard pass from Anthony Wright (Tim Seder kick),17,7
4,2.0,3:55,Chargers,Wade Richey 24 yard field goal,20,7
5,2.0,1:01,Cowboys,Wane McGarity 11 yard pass from Anthony Wright (Tim Seder kick),20,14
6,3.0,6:55,Chargers,Tim Dwight 16 yard rush (pass failed),26,14
7,4.0,12:53,Chargers,Wade Richey 23 yard field goal,29,14
8,4.0,9:21,Cowboys,Mike Lucky 7 yard pass from Anthony Wright (Tim Seder kick),29,21
9,4.0,1:09,Chargers,Wade Richey 43 yard field goal,32,21
