,Quarter,Tm,Detail,CLE,RAI
0,1.0,Raiders,Andrew Glover 2 yard pass from Jeff Hostetler (Jeff Jaeger kick),0,7
1,1.0,Raiders,Jeff Jaeger 24 yard field goal,0,10
2,2.0,Raiders,Jeff Jaeger 27 yard field goal,0,13
3,4.0,Browns,Matt Stover 32 yard field goal,3,13
4,4.0,Raiders,Jeff Jaeger 53 yard field goal,3,16
5,4.0,Browns,Lawyer Tillman 12 yard pass from Vinny Testaverde (Matt Stover kick),10,16
6,4.0,Browns,"Safety, Gossett ran out of end zone",12,16
7,4.0,Browns,Eric Metcalf 1 yard rush (Matt Stover kick),19,16
