,Quarter,Tm,Detail,DEN,RAI
0,1.0,Raiders,Chris Bahr 38 yard field goal,0,3
1,2.0,Broncos,Steve Sewell 8 yard rush (Rich Karlis kick),7,3
2,3.0,Broncos,Sammy Winder 3 yard pass from John Elway (Rich Karlis kick),14,3
3,4.0,Raiders,Jessie Hester 20 yard pass from Marc Wilson (Chris Bahr kick),14,10
4,4.0,Broncos,Mike Harden 40 yard interception return (Rich Karlis kick),21,10
