,Quarter,Time,Tm,Detail,DET,ATL
0,1.0,13:33,Falcons,Michael Jenkins 62 yard pass from Matt Ryan (Jason Elam kick),0,7
1,1.0,7:33,Falcons,Michael Turner 66 yard rush (Jason Elam kick),0,14
2,1.0,3:20,Falcons,Michael Turner 5 yard rush (Jason Elam kick),0,21
3,2.0,4:06,Lions,Kevin Smith 3 yard rush (Jason Hanson kick),7,21
4,2.0,0:16,Lions,Roy Williams 21 yard pass from Jon Kitna (Jason Hanson kick),14,21
5,3.0,9:45,Falcons,Jason Elam 50 yard field goal,14,24
6,3.0,5:57,Falcons,Jerious Norwood 10 yard rush (Jason Elam kick),14,31
7,3.0,1:40,Lions,Casey Fitzsimmons 1 yard pass from Jon Kitna (Jason Hanson kick),21,31
8,4.0,10:23,Falcons,Jason Elam 25 yard field goal,21,34
