,Quarter,Tm,Detail,CIN,PIT
0,1.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),7,0
1,1.0,Bengals,Pete Johnson 16 yard rush (Jim Breech kick),14,0
2,2.0,Bengals,Jim Breech 19 yard field goal,17,0
3,2.0,Steelers,Gary Anderson 48 yard field goal,17,3
4,3.0,Bengals,Jim Breech 27 yard field goal,20,3
5,4.0,Steelers,Franco Harris 29 yard pass from Cliff Stoudt (Gary Anderson kick),20,10
6,4.0,Bengals,Jim Breech 32 yard field goal,23,10
