,Quarter,Tm,Detail,TAM,SFO
0,1.0,49ers,Brent Jones 11 yard pass from Joe Montana (Mike Cofer kick),0,7
1,2.0,49ers,Mike Cofer 24 yard field goal,0,10
2,2.0,49ers,Brent Jones 4 yard pass from Joe Montana (Mike Cofer kick),0,17
3,3.0,Buccaneers,Wayne Haddix 65 yard interception return (Steve Christie kick),7,17
4,3.0,49ers,Roger Craig 10 yard rush (Mike Cofer kick),7,24
5,4.0,49ers,Harry Sydney 1 yard rush (Mike Cofer kick),7,31
