,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,6:04,Giants,Ron Dayne 1 yard rush (Brad Daluiso kick),0,7
1,2.0,1:31,Giants,Amani Toomer 27 yard pass from Kerry Collins (Brad Daluiso kick),0,14
2,4.0,13:06,Giants,Brad Daluiso 31 yard field goal,0,17
3,4.0,5:56,Giants,Joe Montgomery 4 yard rush (Brad Daluiso kick),0,24
4,4.0,5:12,Eagles,Charles Johnson 25 yard pass from Donovan McNabb (David Akers kick),7,24
