,Quarter,Tm,Detail,PHI,PIT
0,1.0,Pirates,Warren Heller 16 yard pass from Ed Matesic (Armand Niccolai kick),0,7
1,3.0,Pirates,Ed Skoronski 19 yard pass from Ed Matesic (Armand Niccolai kick),0,14
2,3.0,Pirates,George Kakasic 36 yard field goal,0,17
