,Quarter,Tm,Detail,TAM,IND
0,1.0,Colts,Eric Dickerson 1 yard rush (Dean Biasucci kick),0,7
1,2.0,Buccaneers,Donald Igwebuike 39 yard field goal,3,7
2,2.0,Colts,Eric Dickerson 27 yard rush (Dean Biasucci kick),3,14
3,2.0,Buccaneers,Bruce Hill 10 yard pass from Vinny Testaverde (Donald Igwebuike kick),10,14
4,2.0,Colts,Chris Chandler 2 yard rush (Dean Biasucci kick),10,21
5,3.0,Colts,Bill Brooks 28 yard pass from Chris Chandler (Dean Biasucci kick),10,28
6,3.0,Colts,Eugene Daniel 41 yard interception return (Dean Biasucci kick),10,35
7,4.0,Buccaneers,Don Smith 5 yard rush (Donald Igwebuike kick),17,35
8,4.0,Buccaneers,Bruce Hill 16 yard pass from Vinny Testaverde (Donald Igwebuike kick),24,35
9,4.0,Buccaneers,Lars Tate 1 yard rush (Donald Igwebuike kick),31,35
