,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Jets,Pat Leahy 46 yard field goal,3,0
1,1.0,Jets,Rocky Klever 7 yard pass from Ken O'Brien (Pat Leahy kick),10,0
2,2.0,Patriots,Tony Franklin 20 yard field goal,10,3
3,2.0,Jets,Pat Leahy 18 yard field goal,13,3
4,2.0,Jets,Marion Barber Jr. 2 yard rush (Pat Leahy kick),20,3
5,2.0,Patriots,Tony Franklin 27 yard field goal,20,6
6,3.0,Patriots,Tony Franklin 47 yard field goal,20,9
7,3.0,Patriots,Craig James 25 yard rush (Tony Franklin kick),20,16
8,4.0,Patriots,Stephen Starring 5 yard pass from Tony Eason (Tony Franklin kick),20,23
9,4.0,Patriots,Tony Collins 4 yard rush (Tony Franklin kick),20,30
