,Quarter,Tm,Detail,NWE,TAM
0,2.0,Buccaneers,Ed Williams 17 yard rush (Dave Green kick),0,7
1,2.0,Patriots,Andy Johnson 69 yard rush (John Smith kick),7,7
2,2.0,Buccaneers,Morris Owens 17 yard pass from Steve Spurrier (Dave Green kick),7,14
3,3.0,Patriots,Andy Johnson 9 yard rush (John Smith kick),14,14
4,4.0,Patriots,Sam Hunt 68 yard interception return (John Smith kick),21,14
5,4.0,Patriots,John Smith 30 yard field goal,24,14
6,4.0,Patriots,Steve Grogan 1 yard rush (Steve Zabel kick),31,14
