,Quarter,Tm,Detail,CLE,TAM
0,1.0,Buccaneers,Garo Yepremian 37 yard field goal,0,3
1,1.0,Buccaneers,Garo Yepremian 35 yard field goal,0,6
2,2.0,Browns,Don Cockroft 35 yard field goal,3,6
3,2.0,Buccaneers,Gordon Jones 41 yard pass from Doug Williams (Garo Yepremian kick),3,13
4,2.0,Browns,Charles White 8 yard rush (Don Cockroft kick),10,13
5,2.0,Browns,Calvin Hill 3 yard pass from Brian Sipe (Don Cockroft kick),17,13
6,3.0,Browns,Ricky Feacher 13 yard pass from Brian Sipe (Don Cockroft kick),24,13
7,4.0,Browns,Calvin Hill 43 yard pass from Brian Sipe (Don Cockroft kick),31,13
8,4.0,Buccaneers,Gordon Jones 3 yard pass from Doug Williams (Garo Yepremian kick),31,20
9,4.0,Browns,Don Cockroft 36 yard field goal,34,20
10,4.0,Buccaneers,Jerry Eckwood 7 yard pass from Doug Williams (Garo Yepremian kick),34,27
