,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Patriots,Andy Johnson 4 yard rush (John Smith kick),0,7
1,2.0,Patriots,Steve Grogan 6 yard offensive fumble return (John Smith kick),0,14
2,2.0,Patriots,Andy Johnson 10 yard pass from Steve Grogan,0,20
3,3.0,Patriots,Steve Grogan 41 yard rush (John Smith kick),0,27
4,3.0,Jets,Clark Gaines 12 yard pass from Joe Namath (Pat Leahy kick),7,27
5,3.0,Patriots,Sam Cunningham 14 yard rush (John Smith kick),7,34
6,3.0,Patriots,Don Calhoun 11 yard rush (John Smith kick),7,41
