,Quarter,Tm,Detail,HOU,DAL
0,1.0,Oilers,Roy Gerela 37 yard field goal,3,0
1,1.0,Cowboys,Mike Clark 35 yard field goal,3,3
2,1.0,Cowboys,Reggie Rucker 52 yard pass from Craig Morton (Mike Clark kick),3,10
3,1.0,Cowboys,Bob Hayes 38 yard pass from Craig Morton (Mike Clark kick),3,17
4,2.0,Cowboys,Bob Hayes 38 yard pass from Craig Morton (Mike Clark kick),3,24
5,3.0,Cowboys,Bob Hayes 15 yard pass from Craig Morton (Mike Clark kick),3,31
6,3.0,Cowboys,Bob Hayes 59 yard pass from Craig Morton (Mike Clark kick),3,38
7,4.0,Oilers,Johnny Peacock 41 yard defensive fumble return (Roy Gerela kick),10,38
8,4.0,Cowboys,Calvin Hill 2 yard rush (Mike Clark kick),10,45
9,4.0,Cowboys,Claxton Welch 5 yard rush (Mike Clark kick),10,52
