,Quarter,Tm,Detail,GNB,NWE
0,1.0,Patriots,Tony Collins 11 yard rush (Tony Franklin kick),0,7
1,2.0,Patriots,Tony Franklin 34 yard field goal,0,10
2,2.0,Patriots,"Safety, Blackmon tackled Dickey in end zone",0,12
3,2.0,Packers,Gerry Ellis 1 yard rush,6,12
4,2.0,Patriots,Cedric Jones 3 yard pass from Tony Eason (Tony Franklin kick),6,19
5,4.0,Patriots,Craig James 65 yard rush (Tony Franklin kick),6,26
6,4.0,Packers,Paul Coffman 8 yard pass from Lynn Dickey (Al Del Greco kick),13,26
7,4.0,Packers,Jessie Clark 23 yard rush (Al Del Greco kick),20,26
