,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,,Bills,Steve Christie 27 yard field goal,0,3
1,2.0,9:41,Jets,Richie Anderson 1 yard rush (Nick Lowery kick),7,3
2,2.0,9:41,Jets,Johnny Johnson 9 yard rush (Nick Lowery kick),14,3
3,2.0,9:41,Jets,Nick Lowery 27 yard field goal,17,3
4,3.0,9:41,Jets,Nick Lowery 42 yard field goal,20,3
5,4.0,9:41,Jets,Nick Lowery 22 yard field goal,23,3
