,Quarter,Tm,Detail,MIA,HOU
0,1.0,Oilers,Tim Smith 5 yard pass from Oliver Luck (Florian Kempf kick),0,7
1,2.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),0,14
2,2.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),7,14
3,3.0,Oilers,Florian Kempf 23 yard field goal,7,17
4,3.0,Dolphins,Uwe von Schamann 19 yard field goal,10,17
5,4.0,Dolphins,Nat Moore 28 yard pass from Dan Marino (Uwe von Schamann kick),17,17
6,4.0,Dolphins,Tony Nathan 5 yard rush (Uwe von Schamann kick),24,17
