,Quarter,Time,Tm,Detail,NOR,CAR
0,2.0,10:49,Saints,Shayne Graham 40 yard field goal,3,0
1,2.0,7:22,Saints,Shayne Graham 24 yard field goal,6,0
2,2.0,1:45,Panthers,DeAngelo Williams 43 yard rush (Graham Gano kick),6,7
3,3.0,7:21,Panthers,Graham Gano 40 yard field goal,6,10
4,4.0,6:37,Saints,Jimmy Graham 5 yard pass from Drew Brees (Shayne Graham kick),13,10
5,4.0,0:23,Panthers,Domenik Hixon 14 yard pass from Cam Newton (Graham Gano kick),13,17
