,Quarter,Tm,Detail,SEA,NOR
0,1.0,Saints,Gill Fenerty 50 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,2.0,Saints,Morten Andersen 47 yard field goal,0,10
2,2.0,Saints,Pat Swilling 39 yard interception return (Morten Andersen kick),0,17
3,2.0,Seahawks,Brian Blades 10 yard pass from Dave Krieg (John Kasay kick),7,17
4,2.0,Saints,Morten Andersen 31 yard field goal,7,20
5,3.0,Seahawks,Brian Blades 25 yard pass from Dave Krieg (John Kasay kick),14,20
6,3.0,Seahawks,John Kasay 37 yard field goal,17,20
7,3.0,Seahawks,Brian Davis 40 yard interception return (John Kasay kick),24,20
8,4.0,Saints,Floyd Turner 10 yard pass from Bobby Hebert (Morten Andersen kick),24,27
