,Quarter,Time,Tm,Detail,HOU,MIN
0,1,,Oilers,Al Del Greco 19 yard field goal,3,0
1,2,,Vikings,Fuad Reveiz 38 yard field goal,3,3
2,2,,Oilers,Al Del Greco 50 yard field goal,6,3
3,2,,Vikings,Cris Carter 4 yard pass from Warren Moon (Fuad Reveiz kick),6,10
4,2,,Vikings,Cris Carter 17 yard pass from Warren Moon (Fuad Reveiz kick),6,17
5,3,,Oilers,Chuck Cecil 20 yard interception return (Rodney Thomas run),14,17
6,4,,Oilers,Al Del Greco 44 yard field goal,17,17
7,OT,,Vikings,Robert Smith 20 yard rush,17,23
