,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,George Blanda 26 yard field goal,0,3
1,1.0,Lions,Pat Harder 31 yard field goal,3,3
2,1.0,Bears,Billy Stone 38 yard pass from George Blanda (George Blanda kick),3,10
3,2.0,Lions,Bob Hoernschemeyer 3 yard rush,9,10
4,2.0,Lions,Bob Hoernschemeyer 4 yard rush (Pat Harder kick),16,10
5,3.0,Bears,Billy Stone 59 yard pass from George Blanda (George Blanda kick),16,17
6,4.0,Lions,Jack Christiansen 79 yard punt return (Pat Harder kick),23,17
7,4.0,Bears,Ed Sprinkle 2 yard pass from George Blanda (George Blanda kick),23,24
