,Quarter,Time,Tm,Detail,NYG,TEN
0,1.0,7:59,Giants,Josh Brown 20 yard field goal,3,0
1,1.0,4:41,Giants,Odell Beckham Jr. 15 yard pass from Eli Manning (Josh Brown kick),10,0
2,1.0,1:07,Giants,Markus Kuhn 26 yard defensive fumble return (Josh Brown kick),17,0
3,2.0,1:38,Giants,Josh Brown 19 yard field goal,20,0
4,2.0,0:07,Giants,Josh Brown 36 yard field goal,23,0
5,3.0,12:06,Giants,Andre Williams 50 yard rush (Josh Brown kick),30,0
6,3.0,8:36,Titans,Marqueston Huff 23 yard interception return (Ryan Succop kick),30,7
7,3.0,0:33,Giants,Josh Brown 52 yard field goal,33,7
8,4.0,11:22,Giants,Josh Brown 42 yard field goal,36,7
