,Quarter,Tm,Detail,PIT,WAS
0,1.0,Steelers,Joe Glamp 15 yard field goal,3,0
1,2.0,Redskins,Bob Nussbaumer 55 yard pass from Sammy Baugh (Dick Poillon kick),3,7
2,2.0,Steelers,Steve Lach 15 yard pass from Johnny Clement (Joe Glamp kick),10,7
3,3.0,Redskins,Dick Poillon 3 yard pass from Sammy Baugh,10,13
4,3.0,Steelers,Tony Compagno 64 yard interception return (Joe Glamp kick),17,13
5,3.0,Redskins,Hugh Taylor 35 yard pass from Sammy Baugh (Dick Poillon kick),17,20
6,3.0,Steelers,Bob Sullivan 50 yard pass from Johnny Clement (Joe Glamp kick),24,20
7,4.0,Steelers,"Safety, Baugh stepped out of end zone",26,20
8,4.0,Redskins,Tom Farmer 1 yard rush (Dick Poillon kick),26,27
