,Quarter,Tm,Detail,NYJ,NWE
0,1.0,Patriots,Cedric Jones 16 yard pass from Steve Grogan (Tony Franklin kick),0,7
1,1.0,Jets,Pat Leahy 42 yard field goal,3,7
2,1.0,Patriots,Steve Grogan 2 yard rush (Tony Franklin kick),3,14
3,2.0,Patriots,Irving Fryar 26 yard pass from Steve Grogan (Tony Franklin kick),3,21
4,2.0,Jets,Pat Leahy 24 yard field goal,6,21
5,2.0,Patriots,Stephen Starring 28 yard pass from Steve Grogan (Tony Franklin kick),6,28
6,2.0,Patriots,Cedric Jones 17 yard pass from Steve Grogan (Tony Franklin kick),6,35
7,3.0,Patriots,Reggie Dupard 7 yard rush (Tony Franklin kick),6,42
8,4.0,Jets,Johnny Hector 6 yard rush (Pat Leahy kick),13,42
9,4.0,Jets,Al Toon 28 yard pass from Ken O'Brien (Pat Leahy kick),20,42
