,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,Dee Mackey 7 yard pass from Johnny Unitas (Wendell Harris kick),0,7
1,2.0,Colts,Dee Mackey 39 yard pass from Johnny Unitas,0,13
2,2.0,Rams,Dick Bass 6 yard rush (Danny Villanueva kick),7,13
3,2.0,Colts,Dick Bielski 15 yard field goal,7,16
4,3.0,Rams,Danny Villanueva 10 yard field goal,10,16
5,3.0,Rams,Ollie Matson 20 yard pass from Zeke Bratkowski (Danny Villanueva kick),17,16
6,3.0,Rams,Danny Villanueva 25 yard field goal,20,16
7,4.0,Rams,Dick Bass 20 yard rush (Danny Villanueva kick),27,16
8,4.0,Colts,Raymond Berry 21 yard pass from Johnny Unitas (Dick Bielski kick),27,23
9,4.0,Colts,Jimmy Orr 14 yard pass from Johnny Unitas (Dick Bielski kick),27,30
