,Quarter,Time,Tm,Detail,CAR,STL
0,1.0,9:38,Panthers,Wesley Walls 14 yard pass from Steve Beuerlein (John Kasay kick),7,0
1,1.0,7:02,Rams,Isaac Bruce 22 yard pass from Kurt Warner (Jeff Wilkins kick),7,7
2,1.0,0:15,Rams,Todd Lyght 57 yard interception return (Jeff Wilkins kick),7,14
3,2.0,5:31,Rams,Roland Williams 19 yard pass from Kurt Warner (Jeff Wilkins kick),7,21
4,2.0,0:44,Panthers,John Kasay 24 yard field goal,10,21
5,3.0,11:25,Rams,Mike Jones 37 yard defensive fumble return (Jeff Wilkins kick),10,28
6,4.0,1:11,Rams,Marshall Faulk 18 yard rush (Jeff Wilkins kick),10,35
